GameDate,WinLoss,MinusScore,DayNight,VisitingHomeType,PitcherNational,PitcherHabit,PreAP_ER(TotalEarnedRunCnt),PreAP_TotalHittingCnt,PreAP_IP,PreAP_BF,PreAP_NP,PreAP_HR,PreAP_BB,PreAP_SO,PreAP_RunCnt,PreSO%,PreBB%,PreHR%,PreFIP,PreBABIP,PreERA,PreWHIP,PreBAT.A_AB,PreBAT.A_RBI,PreBAT.A_R,PreBAT.A_H,PreBAT.A_BB,PreBAT.A_SO,PreBAT.BIP%,PreBAT.BABIP,PreBAT.WOBA,PreBAT.BB%,PreBAT.K%,Brother.PitcherNational,Brother.PitcherHabit,Brother.PreAP_ER(TotalEarnedRunCnt),Brother.PreAP_TotalHittingCnt,Brother.PreAP_IP,Brother.PreAP_BF,Brother.PreAP_NP,Brother.PreAP_HR,Brother.PreAP_BB,Brother.PreAP_SO,Brother.PreAP_RunCnt,Brother.PreSO%,Brother.PreBB%,Brother.PreHR%,Brother.PreFIP,Brother.PreBABIP,Brother.PreERA,Brother.PreWHIP,Brother.PreBAT.A_AB,Brother.PreBAT.A_RBI,Brother.PreBAT.A_R,Brother.PreBAT.A_H,Brother.PreBAT.A_BB,Brother.PreBAT.A_SO,Brother.PreBAT.BIP%,Brother.PreBAT.BABIP,Brother.PreBAT.WOBA,Brother.PreBAT.BB%,Brother.PreBAT.K%
2015/3/26 00:00,1,1,N,1,1,3,6,9,5.333333333,28,117,1,3,4,7,0.142857143,0.107142857,0.035714286,5.825,0.4,10.125,2.25,70,10,10,20,6,17,0.558139535,0.375,0.46944186,0.113636364,0.227272727,0,1,3,8,5,25,103,2,3,4,3,0.16,0.12,0.08,8.6,0.375,5.4,2.2,112,17,20,37,14,20,0.710526316,0.333333333,0.3585,0.105263158,0.157894737
2015/4/3 00:00,1,3,N,2,0,1,1,1,1,5,18,0,0,1,1,0.2,0,0,4.2,0.333333333,9,1,106,12,12,34,7,18,0.945945946,0.4,0.369351351,0.027027027,0.027027027,0,1,2,8,3,16,64,0,1,0,2,0,0.0625,0,4.2,0.533333333,6,3,142,18,21,41,17,26,0.714285714,0.16,0.196028571,0.083333333,0.166666667
2015/4/4 00:00,0,-8,N,2,0,1,5,13,13,60,233,0,8,10,6,0.147058824,0.147058824,0,3.914285714,0.272727273,2.571428571,1.571428571,300,29,29,82,21,50,0.846153846,0.363636364,0.394205128,0.102564103,0.051282051,0,1,5,16,8.333333333,41,145,0,3,2,5,0.08,0.08,0,3.575,0.380952381,5.0625,1.875,359,47,52,110,33,63,0.717948718,0.285714286,0.312461538,0.12195122,0.146341463
2015/4/5 00:00,1,4,D,2,0,1,10,15,11,51,182,1,6,3,10,0,0.136363636,0.045454545,9.45,0.470588235,15.75,3,334,29,29,89,23,59,0.675675676,0.28,0.229594595,0.054054054,0.243243243,0,1,8,19,20,83,317,1,5,24,8,0.321428571,0.035714286,0,1.057142857,0.333333333,0,1,392,55,60,121,41,68,0.651162791,0.357142857,0.446372093,0.186046512,0.11627907
2015/4/21 00:00,1,12,N,2,0,1,11,28,21,91,293,1,3,6,16,0.071428571,0.071428571,0,3.533333333,0.333333333,9,1.666666667,370,40,40,101,31,65,0.659090909,0.379310345,0.439613636,0.177777778,0.133333333,1,1,3,8,11.66666667,49,199,1,6,5,3,0,0.444444444,0,12.2,0.2,13.5,3.75,428,62,67,133,45,73,0.761904762,0.34375,0.35902381,0.095238095,0.119047619
2015/4/23 00:00,0,-5,N,2,1,3,17,44,35,152,496,2,6,12,23,0.035714286,0.035714286,0,3.342857143,0.269230769,1.285714286,1.142857143,728,93,101,209,80,125,0.727272727,0.375,0.423045455,0.090909091,0.136363636,0,2,18,45,33.33333333,149,525,3,8,15,21,0.166666667,0.083333333,0.041666667,5.738461538,0.529411765,12.46153846,2.769230769,781,107,116,242,76,125,0.864864865,0.25,0.253135135,0.081081081,0.054054054
2015/5/1 00:00,1,10,N,1,0,1,14,33,35.33333333,148,550,3,13,26,16,0.24137931,0.172413793,0.034482759,5.533333333,0.333333333,6,1.833333333,758,95,104,215,82,130,0.757575758,0.24,0.230151515,0.057142857,0.142857143,1,1,12,32,30,131,485,4,10,22,17,0.192307692,0.076923077,0,2.628571429,0.176470588,2.571428571,0.714285714,817,114,124,252,83,133,0.622222222,0.321428571,0.359911111,0.152173913,0.173913043
2015/5/2 00:00,1,7,N,1,0,3,20,38,36.33333333,159,577,7,18,19,23,0.148148148,0,0.037037037,4.342857143,0.238095238,2.571428571,0.857142857,969,141,151,282,113,171,0.708333333,0.323529412,0.422541667,0.125,0.083333333,0,1,35,65,40.66666667,197,685,5,12,17,38,0.05,0.1,0.05,9.2,0.4,16.2,2.7,1034,135,148,315,95,167,0.735294118,0.24,0.258411765,0,0.205882353
2015/5/3 00:00,1,3,N,1,0,1,8,15,19.33333333,85,336,0,15,11,8,0.125,0.166666667,0,4.2,0.3125,3,1.5,1013,153,163,302,116,177,0.791666667,0.5,0.4849375,0.06,0.12,0,1,25,55,45.33333333,201,754,2,12,46,27,0.166666667,0.1,0,3.023529412,0.571428571,9.529411765,2.647058824,1064,138,153,323,101,172,0.702702703,0.307692308,0.33027027,0.157894737,0.131578947
2015/5/8 00:00,1,8,N,2,0,1,20,44,36.66666667,173,611,3,19,23,22,0.137931034,0.068965517,0.034482759,4.771428571,0.238095238,1.285714286,1.142857143,1051,157,167,312,117,181,0.875,0.285714286,0.24305,0.025,0.1,0,1,18,38,26,123,437,2,9,9,18,0.076923077,0.038461538,0,3.033333333,0.304347826,4.5,1.333333333,1097,139,154,330,104,176,0.777777778,0.214285714,0.26425,0.081081081,0.108108108
2015/5/9 00:00,0,-3,N,2,0,1,22,58,49,207,673,5,7,14,28,0,0.03125,0,3.575,0.258064516,1.125,1.125,1120,168,179,334,121,185,0.921052632,0.4,0.405657895,0.026315789,0.026315789,0,1,16,31,25.33333333,120,442,2,13,13,20,0,0.038461538,0,3.8,0.4,12.6,2.2,1164,142,157,346,107,178,0.971428571,0.235294118,0.226342857,0.028571429,0
2015/5/10 00:00,0,-1,N,2,0,1,22,42,42.33333333,188,682,7,23,20,26,0.034482759,0.172413793,0,5.366666667,0.173913043,3,1.5,1159,170,182,347,122,192,0.8,0.40625,0.31915,0.025,0.175,0,1,27,66,53.33333333,236,876,2,13,52,30,0.171428571,0.028571429,0,2.075,0.392857143,2.25,1.5,1202,147,163,356,112,181,0.813953488,0.285714286,0.301255814,0.113636364,0.068181818
2015/5/19 00:00,1,6,N,1,1,2,25,52,42.33333333,201,715,3,22,26,28,0.107142857,0.107142857,0,3.729411765,0.363636364,7.941176471,1.941176471,1190,175,187,352,124,197,0.727272727,0.125,0.243575758,0.060606061,0.151515152,0,1,21,41,34,150,535,3,10,13,21,0.148148148,0.037037037,0.037037037,4.2,0.095238095,3.375,0.5,1236,153,169,364,117,186,0.75,0.266666667,0.28745,0.125,0.125
