PitcherNational,PreAP_ER(TotalEarnedRunCnt),PreAP_TotalHittingCnt,PreAP_IP,PreAP_BF,PreAP_NP,PreAP_HR,PreAP_BB,PreAP_SO,PreAP_RunCnt,PreSO%,PreBB%,PreHR%,PreFIP,PreBABIP,PreERA,PreWHIP,PreBAT.A_AB,PreBAT.A_RBI,PreBAT.A_R,PreBAT.A_H,PreBAT.A_BB,PreBAT.A_SO,PreBAT.BIP%,PreBAT.BABIP,PreBAT.WOBA,PreBAT.BB%,PreBAT.K%,Brother.PitcherNational,Brother.PreAP_ER(TotalEarnedRunCnt),Brother.PreAP_TotalHittingCnt,Brother.PreAP_IP,Brother.PreAP_BF,Brother.PreAP_NP,Brother.PreAP_HR,Brother.PreAP_BB,Brother.PreAP_SO,Brother.PreAP_RunCnt,Brother.PreSO%,Brother.PreBB%,Brother.PreHR%,Brother.PreFIP,Brother.PreBABIP,Brother.PreERA,Brother.PreWHIP,Brother.PreBAT.A_AB,Brother.PreBAT.A_RBI,Brother.PreBAT.A_R,Brother.PreBAT.A_H,Brother.PreBAT.A_BB,Brother.PreBAT.A_SO,Brother.PreBAT.BIP%,Brother.PreBAT.BABIP,Brother.PreBAT.WOBA,Brother.PreBAT.BB%,Brother.PreBAT.K%,DayNight_D,PitcherHabit_0,PitcherHabit_1,PitcherHabit_2,PitcherHabit_3,PitcherHabit_4,Brother.PitcherHabit_0,Brother.PitcherHabit_1,Brother.PitcherHabit_2,Brother.PitcherHabit_3,Brother.PitcherHabit_4,VisitingHomeType_1,WinLoss_0,WinLoss_1,WinLoss_2
1.0,29.0,71.0,74.0,310.0,1164.0,7.0,20.0,57.0,29.0,0.04,0.08,0.0,4.0571427,0.45,7.714286,2.357143,3397.0,430.0,463.0,888.0,297.0,673.0,0.75609756,0.38709676,0.37734145,0.0952381,0.11904762,0.0,20.0,44.0,44.333332,189.0,777.0,4.0,16.0,40.0,21.0,0.13043478,0.08695652,0.0,3.2,0.2777778,1.5,1.1666666,3440.0,425.0,465.0,911.0,335.0,621.0,0.825,0.33333334,0.3455,0.0952381,0.071428575,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,2.0,7.0,6.6666665,28.0,103.0,0.0,2.0,3.0,2.0,0.10714286,0.071428575,0.0,3.2,0.3181818,2.7,1.35,3484.0,437.0,470.0,910.0,309.0,696.0,0.57575756,0.31578946,0.31678787,0.2,0.2,0.0,24.0,49.0,49.666668,215.0,878.0,4.0,22.0,44.0,25.0,0.15384616,0.23076923,0.0,5.075,0.33333334,6.75,2.0625,3623.0,441.0,481.0,958.0,345.0,665.0,0.7941176,0.25925925,0.23788235,0.057142857,0.14285715,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,35.0,113.0,166.66667,644.0,2476.0,7.0,36.0,145.0,39.0,0.27272728,0.09090909,0.0,2.45,0.31578946,4.5,1.125,3580.0,449.0,482.0,932.0,320.0,717.0,0.7352941,0.28,0.248,0.05882353,0.20588236,1.0,19.0,37.0,33.0,144.0,533.0,3.0,13.0,21.0,21.0,0.125,0.083333336,0.0,3.2,0.2631579,3.0,1.1666666,3724.0,454.0,494.0,985.0,354.0,691.0,0.59375,0.31578946,0.27065626,0.09090909,0.27272728,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,5.0,6.0,10.0,40.0,167.0,2.0,5.0,13.0,5.0,0.31578946,0.15789473,0.05263158,5.2,0.11111111,3.6,1.0,351.0,50.0,56.0,95.0,36.0,59.0,0.6,0.36666667,0.34412244,0.1,0.26,0.0,2.0,7.0,6.0,25.0,102.0,0.0,2.0,7.0,3.0,0.28,0.08,0.0,1.8666667,0.4375,3.0,1.5,355.0,44.0,48.0,90.0,32.0,76.0,0.63829786,0.16666667,0.26738298,0.16666667,0.16666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3.0,5.0,21.0,78.0,0.0,3.0,2.0,1.0,0.0952381,0.14285715,0.0,4.2,0.1875,1.8,1.2,485.0,63.0,70.0,126.0,47.0,89.0,0.74285716,0.34615386,0.2618857,0.027777778,0.22222222,1.0,6.0,17.0,19.333334,79.0,291.0,0.0,4.0,13.0,8.0,0.22222222,0.037037037,0.0,1.9142857,0.31578946,3.857143,1.0,488.0,66.0,74.0,129.0,50.0,94.0,0.75609756,0.3548387,0.38539025,0.11904762,0.0952381,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,14.0,40.0,27.666666,129.0,468.0,3.0,9.0,16.0,17.0,0.17857143,0.10714286,0.035714287,5.2,0.33333334,4.5,1.6666666,700.0,84.0,93.0,183.0,65.0,133.0,0.775,0.32258064,0.3144,0.1,0.125,1.0,7.0,28.0,39.333332,153.0,622.0,1.0,11.0,34.0,9.0,0.08,0.12,0.0,4.0333333,0.3,1.5,1.5,680.0,92.0,104.0,178.0,81.0,128.0,0.72727275,0.25,0.28827274,0.0882353,0.14705883,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
1.0,6.0,23.0,18.333334,79.0,302.0,1.0,2.0,7.0,6.0,0.10344828,0.06896552,0.0,3.2,0.4347826,3.0,2.0,735.0,87.0,96.0,193.0,68.0,141.0,0.7105263,0.37037036,0.31194738,0.07692308,0.20512821,0.0,5.0,25.0,27.666666,109.0,438.0,0.0,5.0,28.0,6.0,0.21428572,0.071428575,0.0,2.2,0.4,4.5,1.6666666,717.0,95.0,108.0,192.0,84.0,135.0,0.75,0.46666667,0.39495,0.07317073,0.17073171,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,5.0,25.0,25.0,104.0,412.0,1.0,6.0,21.0,5.0,0.115384616,0.038461536,0.0,3.2,0.33333334,3.0,1.3333334,768.0,91.0,100.0,202.0,71.0,146.0,0.75,0.2962963,0.31425,0.08108108,0.13513513,1.0,8.0,24.0,26.333334,107.0,387.0,1.0,5.0,16.0,10.0,0.10714286,0.035714287,0.035714287,4.6285715,0.27272728,2.5714285,1.1428572,752.0,98.0,111.0,203.0,89.0,138.0,0.7804878,0.34375,0.347075,0.12195122,0.07317073,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,10.0,16.0,21.333334,86.0,338.0,2.0,9.0,26.0,10.0,0.26086956,0.08695652,0.0,2.1411765,0.33333334,1.5882353,1.2352941,798.0,96.0,105.0,209.0,74.0,152.0,0.72727275,0.29166666,0.28678787,0.09090909,0.18181819,0.0,13.0,39.0,40.0,165.0,593.0,0.0,7.0,36.0,15.0,0.17391305,0.13043478,0.0,3.3875,0.3125,8.4375,1.5,784.0,99.0,112.0,209.0,92.0,146.0,0.6666667,0.25,0.24058333,0.083333336,0.22222222,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,10.0,23.0,21.333334,88.0,309.0,3.0,3.0,10.0,11.0,0.08695652,0.0,0.0,2.4,0.35,5.4,1.4,831.0,98.0,107.0,215.0,74.0,156.0,0.8235294,0.17857143,0.23094118,0.0,0.11764706,1.0,8.0,20.0,19.0,73.0,271.0,2.0,0.0,9.0,9.0,0.12,0.0,0.04,4.25,0.1904762,2.7,0.75,820.0,102.0,116.0,219.0,92.0,150.0,0.8888889,0.3125,0.2777222,0.0,0.10810811,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,11.0,28.0,28.333334,113.0,404.0,3.0,3.0,12.0,13.0,0.08,0.0,0.0,2.6285715,0.2173913,1.2857143,0.71428573,960.0,111.0,121.0,252.0,77.0,178.0,0.7297297,0.33333334,0.26802704,0.02631579,0.21052632,1.0,7.0,32.0,35.666668,142.0,560.0,0.0,6.0,36.0,8.0,0.24242423,0.03030303,0.0,1.95,0.3181818,2.25,1.0,928.0,117.0,133.0,253.0,100.0,162.0,0.87096775,0.18518518,0.14516129,0.0,0.12903225,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,15.0,44.0,42.666668,182.0,690.0,4.0,13.0,28.0,18.0,0.14814815,0.074074075,0.0,2.95,0.04761905,0.0,0.375,995.0,118.0,128.0,263.0,79.0,182.0,0.8378378,0.3548387,0.3251892,0.05263158,0.10526316,0.0,15.0,47.0,46.333332,194.0,695.0,0.0,9.0,39.0,19.0,0.10344828,0.06896552,0.0,3.2,0.3478261,2.8421052,1.5789474,957.0,117.0,133.0,255.0,102.0,166.0,0.8064516,0.08,0.10464516,0.06451613,0.12903225,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,11.0,22.0,26.0,108.0,421.0,3.0,11.0,31.0,14.0,0.22727273,0.09090909,0.045454547,5.1285715,0.3846154,1.9285715,1.7142857,1028.0,118.0,129.0,269.0,80.0,187.0,0.8235294,0.21428572,0.19017647,0.029411765,0.14705883,1.0,8.0,24.0,26.0,98.0,375.0,2.0,1.0,11.0,9.0,0.08,0.04,0.0,3.057143,0.18181819,0.0,0.71428573,997.0,126.0,143.0,269.0,105.0,175.0,0.6744186,0.41379312,0.40009302,0.06666667,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
