PitcherNational,PreAP_ER(TotalEarnedRunCnt),PreAP_TotalHittingCnt,PreAP_IP,PreAP_BF,PreAP_NP,PreAP_HR,PreAP_BB,PreAP_SO,PreAP_RunCnt,PreSO%,PreBB%,PreHR%,PreFIP,PreBABIP,PreERA,PreWHIP,PreBAT.A_AB,PreBAT.A_RBI,PreBAT.A_R,PreBAT.A_H,PreBAT.A_BB,PreBAT.A_SO,PreBAT.BIP%,PreBAT.BABIP,PreBAT.WOBA,PreBAT.BB%,PreBAT.K%,Brother.PitcherNational,Brother.PreAP_ER(TotalEarnedRunCnt),Brother.PreAP_TotalHittingCnt,Brother.PreAP_IP,Brother.PreAP_BF,Brother.PreAP_NP,Brother.PreAP_HR,Brother.PreAP_BB,Brother.PreAP_SO,Brother.PreAP_RunCnt,Brother.PreSO%,Brother.PreBB%,Brother.PreHR%,Brother.PreFIP,Brother.PreBABIP,Brother.PreERA,Brother.PreWHIP,Brother.PreBAT.A_AB,Brother.PreBAT.A_RBI,Brother.PreBAT.A_R,Brother.PreBAT.A_H,Brother.PreBAT.A_BB,Brother.PreBAT.A_SO,Brother.PreBAT.BIP%,Brother.PreBAT.BABIP,Brother.PreBAT.WOBA,Brother.PreBAT.BB%,Brother.PreBAT.K%,DayNight_D,PitcherHabit_0,PitcherHabit_1,PitcherHabit_2,PitcherHabit_3,PitcherHabit_4,Brother.PitcherHabit_0,Brother.PitcherHabit_1,Brother.PitcherHabit_2,Brother.PitcherHabit_3,Brother.PitcherHabit_4,VisitingHomeType_1,WinLoss_0,WinLoss_1,WinLoss_2
1.0,6.0,9.0,5.3333335,28.0,117.0,1.0,3.0,4.0,7.0,0.14285715,0.10714286,0.035714287,5.825,0.4,10.125,2.25,70.0,10.0,10.0,20.0,6.0,17.0,0.55813956,0.375,0.46944186,0.11363637,0.22727273,0.0,3.0,8.0,5.0,25.0,103.0,2.0,3.0,4.0,3.0,0.16,0.12,0.08,8.6,0.375,5.4,2.2,112.0,17.0,20.0,37.0,14.0,20.0,0.7105263,0.33333334,0.3585,0.10526316,0.15789473,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,1.0,1.0,5.0,18.0,0.0,0.0,1.0,1.0,0.2,0.0,0.0,4.2,0.33333334,9.0,1.0,106.0,12.0,12.0,34.0,7.0,18.0,0.9459459,0.4,0.36935136,0.027027028,0.027027028,0.0,2.0,8.0,3.0,16.0,64.0,0.0,1.0,0.0,2.0,0.0,0.0625,0.0,4.2,0.53333336,6.0,3.0,142.0,18.0,21.0,41.0,17.0,26.0,0.71428573,0.16,0.19602858,0.083333336,0.16666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,5.0,13.0,13.0,60.0,233.0,0.0,8.0,10.0,6.0,0.14705883,0.14705883,0.0,3.9142857,0.27272728,2.5714285,1.5714285,300.0,29.0,29.0,82.0,21.0,50.0,0.84615386,0.36363637,0.39420512,0.102564104,0.051282052,0.0,5.0,16.0,8.333333,41.0,145.0,0.0,3.0,2.0,5.0,0.08,0.08,0.0,3.575,0.3809524,5.0625,1.875,359.0,47.0,52.0,110.0,33.0,63.0,0.71794873,0.2857143,0.31246153,0.12195122,0.14634146,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,10.0,15.0,11.0,51.0,182.0,1.0,6.0,3.0,10.0,0.0,0.13636364,0.045454547,9.45,0.47058824,15.75,3.0,334.0,29.0,29.0,89.0,23.0,59.0,0.6756757,0.28,0.22959459,0.054054055,0.24324325,0.0,8.0,19.0,20.0,83.0,317.0,1.0,5.0,24.0,8.0,0.32142857,0.035714287,0.0,1.0571429,0.33333334,0.0,1.0,392.0,55.0,60.0,121.0,41.0,68.0,0.6511628,0.35714287,0.4463721,0.18604651,0.11627907,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,11.0,28.0,21.0,91.0,293.0,1.0,3.0,6.0,16.0,0.071428575,0.071428575,0.0,3.5333333,0.33333334,9.0,1.6666666,370.0,40.0,40.0,101.0,31.0,65.0,0.65909094,0.37931034,0.43961364,0.17777778,0.13333334,1.0,3.0,8.0,11.666667,49.0,199.0,1.0,6.0,5.0,3.0,0.0,0.44444445,0.0,12.2,0.2,13.5,3.75,428.0,62.0,67.0,133.0,45.0,73.0,0.7619048,0.34375,0.3590238,0.0952381,0.11904762,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,17.0,44.0,35.0,152.0,496.0,2.0,6.0,12.0,23.0,0.035714287,0.035714287,0.0,3.3428571,0.26923078,1.2857143,1.1428572,728.0,93.0,101.0,209.0,80.0,125.0,0.72727275,0.375,0.42304546,0.09090909,0.13636364,0.0,18.0,45.0,33.333332,149.0,525.0,3.0,8.0,15.0,21.0,0.16666667,0.083333336,0.041666668,5.7384615,0.5294118,12.461538,2.7692308,781.0,107.0,116.0,242.0,76.0,125.0,0.8648649,0.25,0.25313514,0.08108108,0.054054055,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,14.0,33.0,35.333332,148.0,550.0,3.0,13.0,26.0,16.0,0.2413793,0.1724138,0.03448276,5.5333333,0.33333334,6.0,1.8333334,758.0,95.0,104.0,215.0,82.0,130.0,0.75757575,0.24,0.23015152,0.057142857,0.14285715,1.0,12.0,32.0,30.0,131.0,485.0,4.0,10.0,22.0,17.0,0.1923077,0.07692308,0.0,2.6285715,0.1764706,2.5714285,0.71428573,817.0,114.0,124.0,252.0,83.0,133.0,0.62222224,0.32142857,0.3599111,0.1521739,0.17391305,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,20.0,38.0,36.333332,159.0,577.0,7.0,18.0,19.0,23.0,0.14814815,0.0,0.037037037,4.3428574,0.23809524,2.5714285,0.85714287,969.0,141.0,151.0,282.0,113.0,171.0,0.7083333,0.32352942,0.42254168,0.125,0.083333336,0.0,35.0,65.0,40.666668,197.0,685.0,5.0,12.0,17.0,38.0,0.05,0.1,0.05,9.2,0.4,16.2,2.7,1034.0,135.0,148.0,315.0,95.0,167.0,0.7352941,0.24,0.25841177,0.0,0.20588236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,8.0,15.0,19.333334,85.0,336.0,0.0,15.0,11.0,8.0,0.125,0.16666667,0.0,4.2,0.3125,3.0,1.5,1013.0,153.0,163.0,302.0,116.0,177.0,0.7916667,0.5,0.4849375,0.06,0.12,0.0,25.0,55.0,45.333332,201.0,754.0,2.0,12.0,46.0,27.0,0.16666667,0.1,0.0,3.0235295,0.5714286,9.529411,2.6470587,1064.0,138.0,153.0,323.0,101.0,172.0,0.7027027,0.30769232,0.33027026,0.15789473,0.13157895,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,20.0,44.0,36.666668,173.0,611.0,3.0,19.0,23.0,22.0,0.13793103,0.06896552,0.03448276,4.7714286,0.23809524,1.2857143,1.1428572,1051.0,157.0,167.0,312.0,117.0,181.0,0.875,0.2857143,0.24305,0.025,0.1,0.0,18.0,38.0,26.0,123.0,437.0,2.0,9.0,9.0,18.0,0.07692308,0.038461536,0.0,3.0333333,0.3043478,4.5,1.3333334,1097.0,139.0,154.0,330.0,104.0,176.0,0.7777778,0.21428572,0.26425,0.08108108,0.10810811,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
