PitcherNational,PreAP_ER(TotalEarnedRunCnt),PreAP_TotalHittingCnt,PreAP_IP,PreAP_BF,PreAP_NP,PreAP_HR,PreAP_BB,PreAP_SO,PreAP_RunCnt,PreSO%,PreBB%,PreHR%,PreFIP,PreBABIP,PreERA,PreWHIP,PreBAT.A_AB,PreBAT.A_RBI,PreBAT.A_R,PreBAT.A_H,PreBAT.A_BB,PreBAT.A_SO,PreBAT.BIP%,PreBAT.BABIP,PreBAT.WOBA,PreBAT.BB%,PreBAT.K%,Brother.PitcherNational,Brother.PreAP_ER(TotalEarnedRunCnt),Brother.PreAP_TotalHittingCnt,Brother.PreAP_IP,Brother.PreAP_BF,Brother.PreAP_NP,Brother.PreAP_HR,Brother.PreAP_BB,Brother.PreAP_SO,Brother.PreAP_RunCnt,Brother.PreSO%,Brother.PreBB%,Brother.PreHR%,Brother.PreFIP,Brother.PreBABIP,Brother.PreERA,Brother.PreWHIP,Brother.PreBAT.A_AB,Brother.PreBAT.A_RBI,Brother.PreBAT.A_R,Brother.PreBAT.A_H,Brother.PreBAT.A_BB,Brother.PreBAT.A_SO,Brother.PreBAT.BIP%,Brother.PreBAT.BABIP,Brother.PreBAT.WOBA,Brother.PreBAT.BB%,Brother.PreBAT.K%,DayNight_D,PitcherHabit_0,PitcherHabit_1,PitcherHabit_2,PitcherHabit_3,PitcherHabit_4,Brother.PitcherHabit_0,Brother.PitcherHabit_1,Brother.PitcherHabit_2,Brother.PitcherHabit_3,Brother.PitcherHabit_4,VisitingHomeType_1,WinLoss_0,WinLoss_1,WinLoss_2
1.0,3.0,3.0,2.0,11.0,70.0,0.0,4.0,3.0,3.0,0.27272728,0.36363637,0.0,6.2,0.75,13.5,3.5,37.0,4.0,4.0,14.0,2.0,9.0,0.70731705,0.4827586,0.37763414,0.04761905,0.21428572,0.0,3.0,8.0,4.0,22.0,92.0,0.0,1.0,4.0,3.0,0.18181819,0.045454547,0.0,2.7,0.53333336,6.75,2.25,33.0,8.0,10.0,8.0,14.0,8.0,0.5106383,0.29166666,0.4051702,0.29787233,0.17021276,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,9.0,14.0,56.0,192.0,1.0,2.0,7.0,3.0,0.13793103,0.06896552,0.0,2.9142857,0.23809524,0.0,1.0,227.0,24.0,25.0,56.0,15.0,45.0,0.85294116,0.2413793,0.19541177,0.0,0.14705883,0.0,4.0,15.0,8.666667,42.0,141.0,0.0,1.0,7.0,9.0,0.14285715,0.0,0.0,2.057143,0.29166666,0.0,1.0,200.0,25.0,29.0,54.0,30.0,43.0,0.7567568,0.21428572,0.224,0.102564104,0.12820512,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,9.0,14.0,8.333333,47.0,183.0,1.0,6.0,6.0,9.0,0.0952381,0.1904762,0.04761905,10.4,0.41666666,13.5,3.0,302.0,30.0,32.0,72.0,20.0,61.0,0.57575756,0.21052632,0.27084848,0.05882353,0.29411766,1.0,6.0,19.0,14.666667,65.0,230.0,1.0,2.0,15.0,11.0,0.3478261,0.04347826,0.04347826,3.2,0.25,3.0,0.8333333,335.0,45.0,50.0,97.0,42.0,66.0,0.71794873,0.35714287,0.39164102,0.1,0.125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,11.0,19.0,27.333334,115.0,465.0,0.0,13.0,18.0,12.0,0.15384616,0.115384616,0.0,3.3764706,0.2631579,3.1764705,1.4117647,584.0,82.0,88.0,153.0,51.0,130.0,0.675,0.25925925,0.22885,0.075,0.25,1.0,14.0,26.0,20.0,92.0,328.0,1.0,6.0,11.0,14.0,0.20833333,0.041666668,0.0,2.0333333,0.2777778,4.5,1.0,611.0,75.0,83.0,166.0,68.0,111.0,0.6923077,0.25925925,0.27582052,0.07317073,0.19512194,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
0.0,4.0,13.0,20.666666,80.0,309.0,1.0,2.0,22.0,5.0,0.2,0.03333333,0.0,1.85,0.3181818,2.7,1.2,612.0,83.0,89.0,155.0,52.0,139.0,0.6551724,0.10526316,0.086965516,0.03333333,0.3,0.0,8.0,30.0,34.0,142.0,524.0,1.0,7.0,28.0,9.0,0.3,0.03333333,0.0,1.5333333,0.10526316,1.0,0.33333334,644.0,77.0,86.0,174.0,69.0,118.0,0.7647059,0.30769232,0.27347058,0.028571429,0.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,2.0,11.0,10.0,45.0,194.0,0.0,2.0,5.0,4.0,0.13043478,0.0,0.0,2.0,0.35,1.8,1.4,649.0,89.0,95.0,168.0,52.0,144.0,0.8378378,0.38709676,0.3631081,0.0,0.13157895,1.0,15.0,37.0,24.666666,111.0,401.0,2.0,2.0,23.0,21.0,0.083333336,0.0,0.041666668,5.0,0.47619048,10.8,2.2,682.0,80.0,89.0,186.0,70.0,126.0,0.775,0.38709676,0.29665,0.025,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,10.0,25.0,41.666668,160.0,603.0,2.0,10.0,38.0,12.0,0.30769232,0.07692308,0.0,1.7,0.25,2.7,0.9,877.0,116.0,123.0,225.0,69.0,192.0,0.8684211,0.3030303,0.31360525,0.07692308,0.025641026,1.0,21.0,39.0,31.333334,142.0,512.0,2.0,11.0,13.0,21.0,0.035714287,0.10714286,0.0,4.366667,0.3043478,6.0,1.6666666,953.0,111.0,125.0,249.0,96.0,173.0,0.6944444,0.28,0.24377778,0.055555556,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,12.0,29.0,25.666666,120.0,494.0,1.0,10.0,21.0,22.0,0.15789473,0.10526316,0.05263158,7.1,0.36363637,10.8,2.1,1318.0,172.0,187.0,342.0,106.0,263.0,0.75609756,0.32258064,0.27234146,0.07317073,0.17073171,0.0,24.0,55.0,52.0,226.0,861.0,6.0,13.0,39.0,26.0,0.10714286,0.035714287,0.0,2.7,0.33333334,4.5,1.5,1414.0,181.0,203.0,384.0,145.0,256.0,0.7380952,0.32258064,0.3695476,0.08888889,0.13333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,14.0,38.0,60.666668,235.0,916.0,3.0,16.0,59.0,16.0,0.17857143,0.071428575,0.0,2.6285715,0.3,0.0,1.1428572,1345.0,176.0,191.0,348.0,111.0,267.0,0.6969697,0.2173913,0.31518182,0.15151516,0.12121212,1.0,7.0,11.0,5.6666665,31.0,133.0,1.0,4.0,3.0,8.0,0.07692308,0.15384616,0.07692308,11.7,0.44444445,18.0,3.5,1448.0,182.0,204.0,392.0,147.0,264.0,0.7222222,0.30769232,0.24011111,0.054054055,0.21621622,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,5.0,9.0,12.0,51.0,196.0,2.0,3.0,9.0,5.0,0.16,0.08,0.04,6.6,0.25,5.4,1.4,1479.0,187.0,205.0,380.0,123.0,306.0,0.6666667,0.26923078,0.23707692,0.051282052,0.23076923,1.0,13.0,62.0,69.333336,284.0,1097.0,3.0,10.0,69.0,18.0,0.23333333,0.03333333,0.0,2.057143,0.2857143,3.857143,1.0,1515.0,190.0,212.0,404.0,151.0,273.0,0.70454544,0.29032257,0.38722727,0.06818182,0.13636364,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
