PitcherNational,PreAP_ER(TotalEarnedRunCnt),PreAP_TotalHittingCnt,PreAP_IP,PreAP_BF,PreAP_NP,PreAP_HR,PreAP_BB,PreAP_SO,PreAP_RunCnt,PreSO%,PreBB%,PreHR%,PreFIP,PreBABIP,PreERA,PreWHIP,PreBAT.A_AB,PreBAT.A_RBI,PreBAT.A_R,PreBAT.A_H,PreBAT.A_BB,PreBAT.A_SO,PreBAT.BIP%,PreBAT.BABIP,PreBAT.WOBA,PreBAT.BB%,PreBAT.K%,Brother.PitcherNational,Brother.PreAP_ER(TotalEarnedRunCnt),Brother.PreAP_TotalHittingCnt,Brother.PreAP_IP,Brother.PreAP_BF,Brother.PreAP_NP,Brother.PreAP_HR,Brother.PreAP_BB,Brother.PreAP_SO,Brother.PreAP_RunCnt,Brother.PreSO%,Brother.PreBB%,Brother.PreHR%,Brother.PreFIP,Brother.PreBABIP,Brother.PreERA,Brother.PreWHIP,Brother.PreBAT.A_AB,Brother.PreBAT.A_RBI,Brother.PreBAT.A_R,Brother.PreBAT.A_H,Brother.PreBAT.A_BB,Brother.PreBAT.A_SO,Brother.PreBAT.BIP%,Brother.PreBAT.BABIP,Brother.PreBAT.WOBA,Brother.PreBAT.BB%,Brother.PreBAT.K%,DayNight_D,PitcherHabit_0,PitcherHabit_1,PitcherHabit_2,PitcherHabit_3,PitcherHabit_4,Brother.PitcherHabit_0,Brother.PitcherHabit_1,Brother.PitcherHabit_2,Brother.PitcherHabit_3,Brother.PitcherHabit_4,VisitingHomeType_1,WinLoss_0,WinLoss_1,WinLoss_2
1.0,26.0,44.0,25.333334,125.0,438.0,6.0,5.0,12.0,27.0,0.074074075,0.074074075,0.037037037,6.8,0.3809524,10.8,2.2,1265.0,224.0,234.0,370.0,128.0,289.0,0.7222222,0.26923078,0.27875,0.055555556,0.19444445,1.0,10.0,20.0,18.0,74.0,302.0,2.0,3.0,16.0,11.0,0.29166666,0.0,0.041666668,3.0333333,0.25,3.0,0.8333333,1226.0,206.0,228.0,398.0,117.0,233.0,0.63829786,0.36666667,0.4963617,0.14893617,0.10638298,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0.0,15.0,35.0,15.333333,80.0,248.0,0.0,2.0,9.0,15.0,0.16129032,0.032258064,0.0,2.15,0.5416667,6.75,2.1,1304.0,232.0,242.0,384.0,131.0,299.0,0.64285713,0.44444445,0.426,0.071428575,0.23809524,1.0,22.0,49.0,54.333332,231.0,917.0,5.0,17.0,55.0,24.0,0.18181819,0.09090909,0.0,2.7,0.5625,13.5,2.75,1263.0,215.0,237.0,415.0,119.0,239.0,0.775,0.5483871,0.463175,0.04878049,0.14634146,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
0.0,34.0,59.0,42.0,197.0,763.0,15.0,12.0,35.0,36.0,0.16,0.08,0.2,19.7,0.46153846,20.25,3.25,1711.0,311.0,325.0,516.0,170.0,385.0,0.6097561,0.48,0.2978049,0.024390245,0.36585367,1.0,31.0,62.0,60.666668,258.0,1104.0,12.0,15.0,70.0,33.0,0.42307693,0.038461536,0.0,0.2,0.42857143,2.8421052,1.1052631,1647.0,281.0,304.0,528.0,148.0,308.0,0.6136364,0.44444445,0.5649318,0.045454547,0.18181819,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,45.0,87.0,58.333332,270.0,978.0,17.0,11.0,36.0,49.0,0.04761905,0.04761905,0.14285715,15.2,0.53333336,18.9,3.6,1940.0,357.0,375.0,596.0,192.0,433.0,0.575,0.39130434,0.387575,0.125,0.225,0.0,20.0,52.0,43.0,179.0,702.0,4.0,7.0,30.0,21.0,0.16666667,0.083333336,0.041666668,5.0333333,0.4117647,3.0,1.6666666,1865.0,323.0,348.0,605.0,165.0,350.0,0.74418604,0.40625,0.48376745,0.06818182,0.09090909,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,37.0,73.0,51.666668,236.0,851.0,8.0,8.0,31.0,39.0,0.16666667,0.03333333,0.0,2.5333333,0.39130434,6.0,1.6666666,1973.0,359.0,377.0,604.0,195.0,444.0,0.5945946,0.36363637,0.28272972,0.08108108,0.2972973,1.0,24.0,59.0,61.333332,254.0,972.0,8.0,11.0,66.0,31.0,0.2962963,0.11111111,0.0,2.5333333,0.46666667,3.0,1.6666666,1902.0,328.0,355.0,615.0,168.0,358.0,0.6976744,0.33333334,0.31060466,0.069767445,0.18604651,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,35.0,69.0,37.333332,182.0,633.0,3.0,5.0,35.0,37.0,0.25,0.035714287,0.035714287,3.6,0.57894737,16.2,2.6,2003.0,360.0,379.0,608.0,200.0,453.0,0.5833333,0.1904762,0.23069444,0.1388889,0.25,1.0,36.0,77.0,79.333336,346.0,1363.0,11.0,28.0,89.0,42.0,0.34615386,0.15384616,0.0,2.7,0.33333334,0.0,1.3333334,1943.0,339.0,366.0,629.0,173.0,367.0,0.67391306,0.41935483,0.41928262,0.10869565,0.19565217,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,42.0,76.0,53.333332,255.0,999.0,16.0,17.0,49.0,46.0,0.1724138,0.10344828,0.03448276,6.3764706,0.3888889,9.529411,1.9411764,2177.0,381.0,401.0,652.0,212.0,487.0,0.54285717,0.2631579,0.16982856,0.057142857,0.4,0.0,37.0,76.0,82.666664,351.0,1471.0,12.0,25.0,98.0,39.0,0.4,0.057142857,0.0,0.75555557,0.2631579,1.0,0.7777778,2162.0,380.0,409.0,698.0,196.0,408.0,0.6136364,0.2962963,0.35688636,0.1590909,0.1590909,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,41.0,89.0,62.666668,288.0,1062.0,8.0,12.0,44.0,43.0,0.23076923,0.07692308,0.0,2.2,0.33333334,1.5,1.3333334,2211.0,389.0,409.0,664.0,214.0,491.0,0.75,0.33333334,0.4646389,0.054054055,0.10810811,1.0,34.0,73.0,77.666664,322.0,1219.0,11.0,17.0,80.0,41.0,0.11111111,0.074074075,0.074074075,7.305263,0.2631579,8.526316,1.4210526,2240.0,386.0,417.0,722.0,204.0,426.0,0.6666667,0.35714287,0.3629762,0.11904762,0.1904762,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,46.0,82.0,58.333332,279.0,1084.0,18.0,19.0,51.0,51.0,0.083333336,0.083333336,0.083333336,8.8,0.22222222,7.2,1.6,2242.0,389.0,409.0,668.0,219.0,504.0,0.5,0.22222222,0.20983334,0.1388889,0.3611111,1.0,37.0,78.0,88.666664,375.0,1578.0,12.0,29.0,105.0,39.0,0.29166666,0.16666667,0.0,2.8666666,0.15384616,0.0,1.0,2273.0,392.0,423.0,729.0,208.0,432.0,0.6585366,0.18518518,0.32858536,0.09756098,0.14634146,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,7.0,17.0,12.0,57.0,236.0,0.0,8.0,14.0,7.0,0.33333334,0.16666667,0.0,2.2,0.6666667,13.5,3.0,2279.0,394.0,416.0,680.0,223.0,514.0,0.64285713,0.44444445,0.3429512,0.093023255,0.23255815,0.0,18.0,37.0,26.666666,133.0,546.0,1.0,13.0,26.0,25.0,0.24,0.04,0.0,2.075,0.3529412,1.6875,1.3125,2307.0,398.0,429.0,739.0,213.0,440.0,0.675,0.37037036,0.32385,0.125,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,7.0,8.0,6.3333335,29.0,135.0,3.0,3.0,5.0,7.0,0.16666667,0.125,0.083333336,7.964706,0.2,7.9411764,1.4117647,2457.0,416.0,440.0,729.0,236.0,554.0,0.73170733,0.4,0.34980488,0.07317073,0.19512194,1.0,41.0,68.0,59.0,262.0,984.0,10.0,20.0,46.0,44.0,0.16666667,0.083333336,0.0,2.8,0.3888889,3.6,1.8,2516.0,424.0,455.0,801.0,230.0,489.0,0.61538464,0.29166666,0.37953848,0.125,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.0,29.0,46.0,29.666666,144.0,490.0,10.0,7.0,13.0,32.0,0.071428575,0.035714287,0.0,3.5333333,0.33333334,3.0,1.5,2495.0,420.0,445.0,741.0,238.0,561.0,0.75,0.36666667,0.332275,0.05,0.175,0.0,45.0,96.0,97.333336,425.0,1687.0,13.0,36.0,108.0,52.0,0.2413793,0.06896552,0.0,2.057143,0.35,0.0,1.2857143,2553.0,428.0,459.0,812.0,235.0,493.0,0.77272725,0.32352942,0.33975,0.11363637,0.09090909,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,7.0,9.0,13.333333,54.0,232.0,3.0,7.0,9.0,7.0,0.16,0.16,0.0,3.7714286,0.05882353,0.0,0.71428573,2633.0,438.0,464.0,781.0,244.0,587.0,0.6744186,0.44827586,0.43848836,0.06818182,0.18181819,1.0,48.0,80.0,64.333336,292.0,1076.0,12.0,21.0,50.0,52.0,0.13333334,0.03333333,0.06666667,7.7,0.47619048,11.8125,2.4375,2687.0,449.0,481.0,845.0,250.0,527.0,0.65625,0.04761905,0.14184375,0.125,0.1875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,32.0,53.0,35.666668,169.0,578.0,12.0,7.0,15.0,35.0,0.08,0.0,0.08,6.866667,0.23809524,4.5,1.1666666,2665.0,443.0,469.0,791.0,246.0,598.0,0.5882353,0.45,0.36832353,0.057142857,0.31428573,1.0,48.0,102.0,103.333336,450.0,1797.0,13.0,38.0,117.0,55.0,0.36,0.08,0.0,1.2,0.42857143,4.5,1.3333334,2724.0,452.0,484.0,855.0,250.0,532.0,0.8108108,0.26666668,0.31843242,0.0,0.13513513,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
0.0,64.0,106.0,75.0,357.0,1395.0,22.0,25.0,61.0,70.0,0.33333334,0.16666667,0.083333336,8.7,0.6,18.0,3.0,2885.0,481.0,509.0,850.0,269.0,649.0,0.6,0.33333334,0.28358,0.078431375,0.29411766,0.0,48.0,103.0,111.333336,474.0,2020.0,14.0,38.0,127.0,55.0,0.27272728,0.13636364,0.0,2.6,0.33333334,3.6,1.4,2872.0,472.0,504.0,897.0,271.0,569.0,0.54545456,0.33333334,0.37822643,0.16949153,0.22033899,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
